Rank,Account,Character,Class,Level,Experience,Dead
172,phazeplays,PhazeDoors,Inquisitor,93,2505741450,Dead
173,purplemedic,ㆍMedicㆍHeistㆍTotemㆍ,Hierophant,93,2501884492,Dead
174,Antikvaros,AntikvarroBanki,Pathfinder,93,2499513330,Dead
175,Strat_X,ArM_PoPPeR,Chieftain,93,2494004838,
176,Subtractem,IDontWantToUseButtons,Inquisitor,93,2483631506,Dead
177,levYMANN,LEVYMANN_BloodTentacles,Ascendant,93,2480906760,Dead
178,lif44,Lifheistsleeper,Elementalist,93,2474302446,Dead
179,boxben93,mampoihhhh,Necromancer,93,2473470519,
180,FluDèche,HeistShieldJugg,Juggernaut,93,2473036122,Dead
181,RoyalAssassin,DetonateTed,Hierophant,93,2471121640,Dead
182,Juicesk,JuiceskiPCoc,Champion,93,2463192567,
183,Yrag80,YragDemiFarm,Pathfinder,93,2462125657,
184,Chudovishee,РезиноваяИгрушка,Pathfinder,93,2457272392,
185,dariuschung,DCJT_HeistGod,Saboteur,93,2455921256,Dead
186,lovetokiss88,PoppingO_O,Gladiator,92,2417720952,Dead
187,niakretsed,DesterDoorMan,Gladiator,92,2405119346,Dead
188,michael3333,BorleHeist,Occultist,92,2404791617,Dead
189,Nayr_Games,AmericasNextTopModel,Necromancer,92,2402194678,Dead
190,strn555,imneet,Inquisitor,92,2382097154,Dead
191,Mooglewrath,aaaazeeaz,Raider,92,2380371335,Dead
192,danikVL,zxcfnine,Champion,92,2379623626,
193,legion123,Legion_tries_ele_ig,Elementalist,92,2375418569,Dead
194,Nagarashi,NagaReadyToDie,Raider,92,2374697084,Dead
195,PapaSt,PapaㆍEDelveㆍhcssf,Deadeye,92,2367227596,Dead
196,Jonte_84,JSN_HZ,Chieftain,92,2365071034,Dead
197,atazoid_,NyChtoPognaliNaooy,Saboteur,92,2361897092,Dead
198,RoyalAssassin,DoorAssassin,Assassin,92,2361553790,Dead
199,판타라이,판타라이,Guardian,92,2358511622,Dead
200,싱싱한과일,IlllIIIll,Saboteur,92,2357606578,Dead
201,Draugdim,DOORMANLMAO,Slayer,92,2346865419,Dead
202,Martienes,EndlessPainChampYEP,Chieftain,92,2346302294,
203,fadedshadowz666,BlackDog_RFmain,Inquisitor,92,2343181178,Dead
204,김겨울,ㆍ김겨울ㆍAlwaysSad,Necromancer,92,2334733999,Dead
205,Gachimuchi_Eternal,Ass_Assin_GOD,Assassin,92,2332355950,Dead
206,syuugu,SEndlessHesitMKIII,Elementalist,92,2330853653,Dead
207,Gantzerino,GantzerT,Champion,92,2324015214,
208,TwoHarbors,Silvertown,Guardian,92,2322544945,Dead
209,Zerfallen,ZerfsThirdTry,Chieftain,92,2318994560,
210,hantung,한퉁_아크중독,Elementalist,92,2314723329,Dead
211,낭만펀치,En_개박살,Juggernaut,92,2312719904,
212,playagain,EndlessHeistImpale,Champion,92,2310532770,Dead
213,블랙퍼스,눈장미,Guardian,92,2295052885,
214,Sioringas,Conrew_Heist,Trickster,92,2284113989,
215,Avengi,Avierndhayehaw,Raider,92,2279963318,Dead
216,D_A_N_G_E_R,RHINOTHEDOORI,Champion,92,2279213227,Dead
217,Ilz,whyjustwhyggg,Raider,92,2274885076,
218,Clushini,Clushy,Gladiator,92,2273086459,Dead
219,불량조립,추봉이도데미갓하나만주세요,Berserker,92,2271313271,Dead
220,juo,juo_Trapped_By_Doors,Saboteur,92,2269755801,Dead
221,HamsterRaider,LetsFockingDie,Ascendant,92,2269089974,Dead
222,Niclasb123,BobroxRawONE,Juggernaut,92,2268549086,Dead
223,beardedmagician,Bearded_DoorArrive,Hierophant,92,2268549086,Dead
224,soopzor,KIRVESMIESTIMOIX,Champion,92,2268549086,Dead
225,HAROMAN,넌서여____________________,Gladiator,91,2239046699,Dead
226,syuugu,SEndlessHeistWitch,Elementalist,91,2237227431,Dead
227,SteveAustin,DontPlayThlsLeague,Raider,91,2236745369,Dead
228,Barsilla,RIPPED_CONDOM_HEIST,Saboteur,91,2219674550,
229,ShakCentral,ShakCentral_TheCriminal,Occultist,91,2209331156,
230,Blaad89,HeistDeezNutsTwo,Saboteur,91,2206502696,Dead
231,IcyTV,twitchㆍIcyTVstream,Chieftain,91,2205656152,Dead
232,Kodiak245,Ishouldbedoingsomething,Champion,91,2204061703,Dead
233,snyokang,DonDonMe,Guardian,91,2200491075,
234,neokoros,thisisnick,Occultist,91,2200357211,Dead
235,AzreXx,Endless_NVM,Champion,91,2191176460,
236,RobJordan,Gewi_hcdoors,Gladiator,91,2190063910,Dead
237,BoostCoder,SeteHorasSemDropar,Deadeye,91,2178257785,
238,Liebreiz,ApsLastResort,Ascendant,91,2176114514,
239,KanaZaki,MissDuFion,Occultist,91,2167294045,Dead
240,grokuick,LolZerkNicky,Berserker,91,2158325690,Dead
241,nabsnabsnabs,NABIMARUPAINARRIVE,Champion,91,2145990064,
242,arthas318,Arthas_PainGlad,Gladiator,91,2140964271,Dead
243,DocSupaTrupa,SantasBringingCopium,Berserker,91,2138266404,Dead
244,kog1115,Griff_ColdDotBinge,Juggernaut,91,2136990459,Dead
245,bannyan,FinalHeistFantasyNyang,Saboteur,91,2120956066,
246,코코밍밍,쀼쀼강탈,Trickster,91,2117687980,
247,Schachi,llIIIlIII,Occultist,91,2096171176,
248,ham_90,ㅎ롫ㅇㅇㄹㅇㅎㅇㅎㄹ,Assassin,91,2094900291,Dead
249,Kashijosh,KashiSabo,Saboteur,90,2087478184,
250,xx슈퍼맨xx,xx스파이더맨xx,Hierophant,90,2072518387,Dead
251,Bl1zZ4rD,Assslayer,Slayer,90,2064322047,Dead
252,DrFibonaccii,FiboHE,Assassin,90,2064234952,Dead
253,slaby_zawodnik,iwilldiesoonsadge,Saboteur,90,2053093473,
254,Kanbro,Brozo,Gladiator,90,2050590804,
255,Hatq,qnwqm,Champion,90,2048915569,Dead
256,Curtsie,CurtsyVD,Necromancer,90,2043837094,Dead
257,Silvercrowe,SilverCroweLUL,Inquisitor,90,2039513955,
258,dancecommand,DDRCMDRR,Champion,90,2036425610,
259,therealyielder,iamyielderKNOCKKNOCK,Raider,90,2025195214,
260,Tycaan,EH_Terrian,Guardian,90,2020362138,
261,RealNaOH,kell_ehh,Necromancer,90,2013689515,
262,Hollu,GauntletWasWarmUp,Slayer,90,2010807799,
263,Giber,LongNeckBunger,Inquisitor,90,2005801163,Dead
264,Mortrau,Я_Ограблю_Твой_Банк,Raider,90,2005496088,Dead
265,bodlot,WhoooLetTheRoguesOut,Chieftain,90,2004067502,Dead
266,Kohface,PotArrive,Pathfinder,90,2000604532,Dead
267,moosh,Moosh,Raider,90,1996458737,Dead
268,haydee177,Snowblowern,Inquisitor,90,1995837449,Dead
269,ponnwa,Pon_End_HCSSF_Kusojiji,Inquisitor,90,1991923953,Dead
270,godmodeon,Zmain_ColdRunner,Raider,90,1990049312,Dead
271,parsethis,ParseEndlessSuffering,Deadeye,90,1988066699,Dead
272,snowrain242,snowhcc,Necromancer,90,1985654221,Dead
273,Bobocka,erthsrethrte,Ascendant,90,1981032608,Dead
274,Hacriat,KICKSERVEWIDE,Champion,90,1979511818,
275,nikoon,Nikonized,Champion,90,1977842896,Dead
276,DBMveselko,vesel_endlesspausechamp,Champion,90,1974330867,
277,genportz1,GeNPortzDUNNO,Gladiator,90,1971713567,
278,Sarrom107,Sarrom_LovesHeist,Raider,90,1964583333,Dead
279,EmptedBoss,EmptedCocExpert,Assassin,90,1964184662,Dead
280,Draegnarrr,RaiderRIPOrosCycloneLUL,Raider,90,1963173390,Dead
281,JgLaxus,JgHeist,Pathfinder,90,1960794987,
282,madam0909,Adult_MeeLo_HCSSF,Trickster,90,1957228512,Dead
283,SantaCIaus,HereWeGoStealingAgain,Raider,90,1954648007,
284,Xede,HardkorowySpiulkolot,Gladiator,90,1954611608,
285,sirfancypants,Neptunez_EndlessDoorsGG,Ascendant,90,1954467614,
286,JayBoy000,SalahAlDinYusufIbnAyyub,Guardian,90,1945164825,
287,Sensis,SensisChilledOne,Raider,90,1941868673,
288,Celania,Thirena_Thief,Occultist,90,1941083928,
289,TeejMeSenpai,SpinnMF,Slayer,90,1940689589,Dead
290,shashk0,AlexRaffle,Ascendant,90,1939720852,
291,s254758d,LcukyPumpkin_HCSSF,Occultist,90,1939113041,
292,Ulfsten,Touchmybuttanddie,Raider,90,1938691667,
293,Ostantus,SSF_Heistun,Saboteur,90,1938429913,
294,Stickfoot,FlakyHeistDD,Elementalist,90,1938396531,
295,heye,PsycoChiefGoBoomBoom,Chieftain,90,1938254531,Dead
296,DrMeatshield,StronkMeat,Ascendant,90,1937430858,
297,Trobigod,SIRKUSPAAHAHMO,Champion,90,1937406972,
298,Squanky,RogueㆍHarbouringㆍPain,Gladiator,90,1936497924,
299,iH8SP33D,YouAreAleshaOrPetya,Berserker,90,1936268082,
300,waytoopeter,awtatwat,Gladiator,90,1935490682,
301,CosworthTheDog,RedVeryDead,Deadeye,90,1935481267,
302,snifz,HaistVidduSitHehheh,Occultist,90,1935313419,
303,MrPollar,DEADBEFOREBLUEPRINTS,Champion,90,1935072051,
304,Badyzh,HeistDDBadyzh,Necromancer,90,1934385194,
305,qrowNN,BallsIgniteEndlessly,Elementalist,90,1934206299,
306,AndreyFD312,EndHeistYamaII,Champion,90,1934201105,
307,kanaiboshi,KanaiVoidHeist,Raider,90,1934178450,
308,sparr0whawk,agddhahah,Inquisitor,90,1934157657,
309,Sovrihn,OBD_Paracelsus,Pathfinder,90,1934048935,
310,torhildr,tor_meta_slave,Champion,90,1934009687,Dead
311,타다라,Tadara_Tric,Trickster,90,1934009687,Dead
312,sacramouss,Heistamousss,Champion,89,1916515477,Dead
313,jungsoonho7,강도순자,Necromancer,89,1915322462,Dead
314,cd6696,AnguyRFtaketwo,Chieftain,89,1909785726,Dead
315,KeeperOfSoulz,HeistKeeper__I,Juggernaut,89,1907359167,Dead
316,rafael51,NoxAssassin,Assassin,89,1904826899,Dead
317,Adri38,EndlessGlacialWaves,Hierophant,89,1901620825,Dead
318,Sarrom107,Sarrom_Heists,Deadeye,89,1894296795,Dead
319,a_beater,JayGee_ZOOOOM,Elementalist,89,1892802588,Dead
320,rivak,Rvk_EndHeist,Occultist,89,1888285897,
321,dancecommand,ADDRCMD,Gladiator,89,1879356605,
322,ruthlessympathy,Ruthless_gogoo,Trickster,89,1878915120,Dead
323,Terrifico,heistisrlybad,Chieftain,89,1878882301,Dead
324,idimba,DimbaHeist,Chieftain,89,1878202276,Dead
325,kannker,binguschingus,Ascendant,89,1869196504,
326,Strat_X,No_DDs,Inquisitor,89,1866267015,Dead
327,Hotek,Hotek_HeraldOfPAIN,Guardian,89,1864680729,Dead
328,LaserPanther,_Tits,Juggernaut,89,1859689119,
329,bvgftr,몰라요아무것도,Berserker,89,1858813227,Dead
330,Dsfarblarwaggle,waggleARRIVING,Hierophant,89,1853575440,Dead
331,keploxe,PotatoDoorSimulator,Guardian,89,1852085620,Dead
332,EXILEarum,Batu_Marauder,Juggernaut,89,1850157183,Dead
333,BrandonMU,BranEndlessHeist,Inquisitor,89,1846739203,
334,Lovets97,BanePlayer,Occultist,89,1842995627,
335,RakkHunter,LearnedFromOceansEleven,Pathfinder,89,1842662496,
336,s3pulba,RaiderGoesHeist,Raider,89,1837975625,Dead
337,Areksander,EF_HereWeGoAgain,Saboteur,89,1835955636,Dead
338,Lonnie455Rich,HulkSmashenit,Berserker,89,1835685268,Dead
339,Katsi,Dogman____,Raider,89,1831404058,Dead
340,Machinexx,CHADARRIVE,Necromancer,89,1823518211,Dead
341,hagplayspoe,Hag_RealFakeDoors,Hierophant,89,1822098170,Dead
342,datopdog,NightandDayonRepeat,Hierophant,89,1820993732,Dead
343,RFeath,RF_Heist_zzz,Elementalist,89,1818689730,Dead
344,Bigt533,ArchEntity_Burn,Inquisitor,89,1808664523,Dead
345,Vexor44,LarsTheLong,Inquisitor,89,1785991997,Dead
346,thefatman69,Sad_docLeave,Champion,89,1784977296,Dead
347,misterchen,PowHeistEnjoyer,Gladiator,88,1756270653,Dead
348,OnlySlightlyBent,HowAboutWeDoItAGAIN,Chieftain,88,1747227315,Dead
349,Okaam,HeistVeryPoggers,Gladiator,88,1745371745,Dead
350,xfiendmate,got_em_chief,Chieftain,88,1743758052,Dead
351,Hoggage,Hogg_LastDance,Occultist,88,1742033098,Dead
352,rejije01,wserxtcytvubinomkouoyit,Pathfinder,88,1737989620,Dead
353,Rubrick2014,MyNmHeisterTwo,Chieftain,88,1733370532,Dead
354,lm0nstrl,ㆍHㆍEㆍIㆍSㆍTㆍ,Raider,88,1729093772,Dead
355,casualcarpet,PoopPoopins,Elementalist,88,1719318507,Dead
356,LetseV69,kraithiest,Hierophant,88,1713694469,Dead
357,Jintetsu,MotherOfUnEndingHunger,Berserker,88,1712287536,Dead
358,Nayira,oshinoss,Occultist,88,1709364229,Dead
359,Kashshaptu,Kashshaptu_EHeist_HCSSF,Necromancer,88,1690938444,Dead
360,CptDoigralis,bebrtake,Saboteur,88,1687558648,Dead
361,Electrozombi,ElectoZombiLost,Necromancer,88,1686902963,Dead
362,tgtro11,scourge_heist_Stars_rf,Inquisitor,88,1683326725,Dead
363,Hakatz,Hcjoulusoolo,Saboteur,88,1681579976,
364,Landoro,Yaki_EndHeist,Ascendant,88,1674894470,
365,mehcanknicks,Manly_Palmer_Hall,Deadeye,88,1674424503,
366,Zoricus,ZoricusEndlessPain,Champion,88,1673197955,
367,C9_Billie,hcheistBillie,Occultist,88,1664594830,Dead
368,sanchezpoe,KZNACHITKRASNAJARUBAHA,Champion,88,1662616400,Dead
369,MrTracki,TheDitchWitch,Necromancer,88,1660488918,Dead
370,ultraglue,untilfirstreflectzone,Slayer,88,1656622593,
371,s3pulba,GuardianGoesHeist,Guardian,88,1654852550,
372,묵은지김치찜,Kimchi_HCinuqi,Inquisitor,88,1651774535,Dead
373,Drakarushka,hannahenjoyer,Inquisitor,88,1648064484,Dead
374,Intertwined,AnimateMyProperPants,Necromancer,88,1646943474,Dead
375,bernieja,MishHeisting,Chieftain,88,1646943474,Dead
376,뚱바우,이년아좀오래살아봐,Elementalist,88,1646943474,Dead
377,Mevorra,MevorraHeistertide,Occultist,87,1633791574,Dead
378,Ventrua,DㆍOㆍOㆍRㆍS,Gladiator,87,1633365512,Dead
379,dooth,Sneedfeedchucksuckfuck,Occultist,87,1626772990,Dead
380,Quubz,QbzHeistin,Gladiator,87,1626103275,Dead
381,Kor_SD,Kor_Aje,Berserker,87,1625512521,Dead
382,mattgore,MattEndlessHeist_IV,Guardian,87,1621237290,Dead
383,IDuottI,ХЕЙТЕР_КРАЖИ,Juggernaut,87,1607740053,Dead
384,Yiruru,HeistRuru,Ascendant,87,1601821433,Dead
385,RealLifePleb,plebdocArrive,Pathfinder,87,1598067019,Dead
386,guzzly99,EndlesslyCoc,Assassin,87,1595780369,
387,Daylen,Daylen_Doors,Pathfinder,87,1594695622,Dead
388,Panina,IsHeistFun,Elementalist,87,1594325927,Dead
389,Nayira,Oshinoshinobuxxxxx,Occultist,87,1593654506,Dead
390,cocotheone,Cocotheone_Win,Inquisitor,87,1593233093,Dead
391,Small_Shrew,CorridorOfInfiniteDoors,Occultist,87,1593109123,
392,KeeperOfSoulz,HeistKeeper__II,Juggernaut,87,1581911578,
393,Mokoichi,fuckinghateparker,Occultist,87,1581379301,Dead
394,luckyjam0503,BOOMBOOMCORPSEa,Necromancer,87,1579847505,Dead
395,PekkaKokko,BaxterHasAPoisonousDick,Assassin,87,1575301812,
396,emiism,JuicyRingOfFire,Guardian,87,1571542782,Dead
397,crokit,소용돌이는_그러하다,Occultist,87,1566671599,Dead
398,S1innabar,slamsn__n,Berserker,87,1555188641,Dead
399,MrKorki,MrKorkii,Saboteur,87,1546285452,Dead
400,Salaaar,SalaBeeftain,Chieftain,87,1543061914,Dead
401,stellar476,gooodnfuck,Champion,87,1541816712,Dead
402,Devilbane,Wonderweaver,Necromancer,87,1541266142,Dead
